CLASS_LABEL,NumDots,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumAmpersand,NumHash,NumNumericChars,NoHttps
1,3,72,0,0,0,0,0,0,0,0,0,1
1,3,144,0,0,0,0,2,0,1,0,41,1
1,3,58,0,0,0,0,0,0,0,0,0,1
1,3,79,1,0,0,0,0,0,0,0,0,1
1,3,46,0,0,0,0,0,0,0,0,2,1
1,3,42,1,0,0,0,0,0,0,0,0,1
1,2,60,0,0,0,0,0,0,0,0,1,1
1,1,30,0,0,0,0,0,0,0,0,3,1
1,8,76,1,1,0,0,0,0,0,0,2,1
1,2,46,0,0,0,0,0,0,0,0,0,1
1,5,64,1,1,0,0,0,0,0,0,3,1
1,2,47,0,0,0,0,0,0,0,0,1,1
1,2,61,1,1,0,0,0,0,0,0,0,0
1,2,35,0,0,0,0,0,0,0,0,0,1
1,2,60,1,1,0,0,0,0,0,0,0,1
1,3,73,0,0,0,0,0,0,0,0,0,1
1,3,50,0,0,0,1,0,0,0,0,10,1
1,3,59,1,1,0,0,0,0,0,0,7,1
1,2,28,0,0,0,0,0,0,0,0,1,1
1,1,59,0,0,0,0,0,0,0,0,22,1
1,1,32,0,0,0,0,0,0,0,0,4,1
1,5,52,0,0,0,0,0,0,0,0,1,1
1,2,62,1,0,0,0,0,0,0,0,0,1
1,1,105,2,0,0,0,0,0,0,0,24,1
1,4,55,0,0,0,0,0,0,0,0,0,1
1,5,134,3,0,0,0,0,0,0,0,1,1
1,2,43,0,0,0,0,0,0,0,0,0,1
1,6,210,2,0,0,0,7,0,4,0,24,1
1,2,135,2,0,0,0,3,0,1,0,1,1
1,5,85,0,0,0,0,0,0,0,0,0,1
1,2,80,0,0,0,0,0,0,0,0,17,1
1,2,44,0,0,0,0,0,0,0,0,4,1
1,3,95,0,0,0,0,0,4,0,0,16,1
1,2,60,1,0,0,0,0,0,0,0,0,1
1,2,60,0,0,0,0,0,0,0,0,0,1
1,6,100,1,0,0,0,0,0,0,0,8,1
1,6,111,1,0,0,0,0,0,0,1,18,1
1,2,29,0,0,0,0,0,0,0,0,0,1
1,2,37,2,2,0,0,0,0,0,0,0,1
1,3,49,2,2,0,0,0,0,0,0,0,1
1,1,34,0,0,0,0,0,0,0,0,0,1
1,3,53,1,0,0,0,0,0,0,0,0,1
1,2,45,0,0,0,0,0,0,0,0,0,1
1,3,65,0,0,0,0,0,0,0,0,0,1
1,5,182,0,0,0,0,0,0,0,0,75,1
1,3,47,0,0,0,0,0,0,0,0,0,1
1,4,55,0,0,0,0,0,0,0,0,0,1
1,2,62,0,0,0,0,0,0,0,0,0,1
1,2,59,1,0,0,0,0,0,0,0,0,1
1,3,39,0,0,0,0,0,0,0,0,0,1
1,2,41,0,0,0,0,0,0,0,0,1,1
1,2,142,0,0,0,0,1,0,0,0,5,1
1,2,29,0,0,0,0,0,0,0,0,0,1
1,4,51,1,1,0,0,0,0,0,0,0,1
1,3,39,0,0,0,0,0,0,0,0,0,1
1,3,48,0,0,0,0,0,0,0,0,0,1
1,2,59,1,0,0,0,0,0,0,0,0,1
1,2,129,2,0,0,0,3,0,1,0,1,1
1,3,34,1,1,0,0,0,0,0,0,0,1
1,8,184,2,2,0,0,0,0,1,0,26,1
